"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"155";24,125;24,16;23,58;23,795;2146300;55,19;55,24;54,43;55,04;301200;6315,870117;6333,25;6247,620117;6286,25;24146100
"156";23,7;23,74;22,725;22,805;4016900;54,62;54,74;52,49;52,49;350800;6234,600098;6236,569824;6143,580078;6154,069824;30207000
"157";22,84;23,055;22,285;22,8;3312800;51,8;51,8;50,34;51,1;491200;6141,899902;6173,419922;6097,720215;6135,169922;30582400
"158";23,55;23,7;22,85;23,145;4865800;51,76;51,88;50,32;50,78;335200;6163,109863;6168,709961;6068,819824;6110,410156;27177100
"159";23,315;23,425;22,705;22,995;2193700;51;51,13;50,04;50,65;316500;6132,779785;6156,569824;6062,290039;6110,569824;20988900
"160";23,165;23,69;23,085;23,57;2587100;51,1;52,04;50,7;51,93;367900;6125,319824;6215,350098;6123,790039;6206,399902;26084800
"161";23,56;23,595;23,23;23,34;2345200;51,78;51,78;51,11;51,35;258800;6183,120117;6216,549805;6155,509766;6186,310059;22856200
"162";23,565;23,675;22,805;22,95;3297300;51,88;51,88;49,78;50,1;369900;6216,330078;6229,459961;6070,830078;6075,129883;30652900
"163";23,005;23,11;22,52;22,535;3356900;49,87;50,31;49;49,11;311200;6079,910156;6097,350098;5999,629883;6005,160156;33860400
"164";22,58;22,755;22,395;22,47;2257600;49,515;49,7;49,01;49,17;215600;6017,189941;6055,22998;5995,370117;6010,910156;19657100
"165";22,25;22,335;21,62;21,925;3272600;49;49;47,015;47,68;446800;5962,870117;5975,830078;5869,299805;5935,439941;26305300
"166";21,82;21,95;21,3;21,61;2745200;47,61;47,61;46,085;46,72;399700;5925,47998;5954,959961;5837,899902;5899,5;29686600
