Date;usd
30.05.2001;0,070134427
31.05.2001;-0,915606819
01.06.2001;-0,023587687
04.06.2001;0,411983397
05.06.2001;-0,565439132
06.06.2001;0,917221858
07.06.2001;-0,905409207
08.06.2001;0,023621117
11.06.2001;0,306567862
12.06.2001;-0,235737969
13.06.2001;0,799252021
14.06.2001;-0,587062858
15.06.2001;1,982109895
18.06.2001;-0,939518597
19.06.2001;-0,209986078
20.06.2001;-0,585618914
21.06.2001;0,457076682
22.06.2001;-0,28103063
25.06.2001;0,922095824
26.06.2001;0,046463005
27.06.2001;0,127662061
28.06.2001;-1,295763183
29.06.2001;-0,364899469
02.07.2001;-0,295246745
03.07.2001;0,495517767
04.07.2001;-0,519175207
05.07.2001;-0,367407821
06.07.2001;-0,452220216
09.07.2001;0,890583574
10.07.2001;1,011535325
11.07.2001;0,769413915
12.07.2001;-0,851366738
13.07.2001;0,011711659
16.07.2001;0,513959781
17.07.2001;-0,78367557
18.07.2001;1,329775806
19.07.2001;1,071871036
20.07.2001;0,605750752
23.07.2001;-1,146013001
24.07.2001;0,368155041
25.07.2001;0,971380702
26.07.2001;-0,330352866
27.07.2001;0,045630847
30.07.2001;-0,194075065
31.07.2001;0,045698618
01.08.2001;0,705671037
02.08.2001;-0,329452158
03.08.2001;0,204615281
06.08.2001;-0,011356539
07.08.2001;-0,421101174
08.08.2001;-0,057041813
09.08.2001;1,021807256
10.08.2001;0,933167714
13.08.2001;0,613601524
14.08.2001;-0,256139123
15.08.2001;1,614900707
16.08.2001;0,328623365
17.08.2001;-0,065638335
20.08.2001;0,120304056
21.08.2001;-0,229797114
22.08.2001;0,959449139
23.08.2001;-1,134887781
24.08.2001;-0,043907794
27.08.2001;-0,197824001
28.08.2001;-0,529451932
29.08.2001;0,880868942
30.08.2001;-0,296426632
31.08.2001;0,690300226
03.09.2001;-0,943506725
04.09.2001;-1,130707091
05.09.2001;-0,884614693
06.09.2001;-0,40572579
07.09.2001;1,089469977
10.09.2001;1,055624003
11.09.2001;-0,92166551
12.09.2001;0,976917183
13.09.2001;0,088339228
14.09.2001;1,739745176
17.09.2001;0,540892708
18.09.2001;-0,1403509
19.09.2001;0,021605272
20.09.2001;0,010800886
21.09.2001;-0,639256741
24.09.2001;-0,392071946
25.09.2001;0,130861524
26.09.2001;0,467519199
27.09.2001;-0,151975713
28.09.2001;-0,807159705
01.10.2001;-0,065731817
02.10.2001;0,698921705
03.10.2001;0,217415022
04.10.2001;-1,004046414
05.10.2001;0,623259357
08.10.2001;0,435067034
09.10.2001;-0,228174163
10.10.2001;-0,621967197
11.10.2001;-0,813280667
12.10.2001;-0,243067184
15.10.2001;0,628551444
16.10.2001;-0,495896107
17.10.2001;-0,331968879
18.10.2001;0,044326242
19.10.2001;-0,188522374
22.10.2001;-0,444989053
23.10.2001;-0,918465238
24.10.2001;0,33700324
25.10.2001;-0,314500989
26.10.2001;0,247191137
29.10.2001;1,049351
30.10.2001;0,65305451
31.10.2001;-0,243013485
01.11.2001;0,606429997
02.11.2001;-0,451716738
05.11.2001;-1,054569356
06.11.2001;0
07.11.2001;0,589709637
08.11.2001;-0,467030761
09.11.2001;-0,469222177
12.11.2001;-0,12325622
13.11.2001;-0,867073728
14.11.2001;-0,442052293
15.11.2001;0,249603034
16.11.2001;0,226372479
19.11.2001;-0,589637721
20.11.2001;0,351933155
21.11.2001;-0,374681108
22.11.2001;-0,14798796
23.11.2001;0,193478692
26.11.2001;0,261170875
27.11.2001;-0,340793241
28.11.2001;0,488110396
29.11.2001;0,632127627
30.11.2001;0,123699763
03.12.2001;0,302979528
04.12.2001;-0,258035707
05.12.2001;0,190786209
06.12.2001;-0,336927542
07.12.2001;0,247191137
10.12.2001;-0,686900961
11.12.2001;0,653229038
12.12.2001;0,336210112
13.12.2001;0,413108386
14.12.2001;0,455784236
17.12.2001;0,365347763
18.12.2001;-0,40972318
19.12.2001;-0,322312032
20.12.2001;-0,111383393
21.12.2001;-0,334896495
24.12.2001;-1,634668044
27.12.2001;0,283752531
28.12.2001;-0,113404412
02.01.2002;2,521000687
03.01.2002;-0,022131238
04.01.2002;-0,911623879
07.01.2002;-0,548744308
08.01.2002;0,0449085
09.01.2002;0,134604619
10.01.2002;-0,134604619
11.01.2002;0,112183095
14.01.2002;0,089655951
15.01.2002;-0,056025549
16.01.2002;-1,18384606
17.01.2002;0,02268088
18.01.2002;-0,102104496
21.01.2002;0,33994367
22.01.2002;-0,113186203
23.01.2002;0,294018079
24.01.2002;-1,01005228
25.01.2002;-1,19335897
28.01.2002;-0,986029681
29.01.2002;0,534822807
30.01.2002;0,208502334
31.01.2002;-0,057873721
01.02.2002;-0,057907234
04.02.2002;0,138921069
05.02.2002;0,450165243
06.02.2002;-0,219058138
07.02.2002;0
08.02.2002;0,873367997
11.02.2002;0,615948109
12.02.2002;-0,467317201
13.02.2002;-0,251658792
14.02.2002;-0,436180673
15.02.2002;0,137946912
18.02.2002;0,114810575
19.02.2002;-0,264261658
20.02.2002;0,58503178
21.02.2002;-0,481541861
22.02.2002;0,527282285
25.02.2002;-0,26329361
26.02.2002;-0,482593146
27.02.2002;-0,380820955
28.02.2002;0,023121387
01.03.2002;0,323139346
04.03.2002;-0,346260734
05.03.2002;0,380820955
06.03.2002;0,344946875
07.03.2002;0,59510361
08.03.2002;0,375833254
11.03.2002;-0,638615467
12.03.2002;-0,091564617
13.03.2002;0,011450163
14.03.2002;0,786911742
15.03.2002;0,566381215
18.03.2002;-0,691416753
19.03.2002;0,419954082
20.03.2002;-0,17003915
21.03.2002;0,034030969
22.03.2002;-0,249829792
25.03.2002;-0,410163501
26.03.2002;-0,251486186
27.03.2002;0,102957167
28.03.2002;-0,251860465
02.04.2002;0,708169721
03.04.2002;0,193302693
04.04.2002;0,170251446
05.04.2002;-0,363554138
08.04.2002;-0,091095429
09.04.2002;-0,171027919
10.04.2002;0,398611085
11.04.2002;-0,045475217
12.04.2002;0,102290172
15.04.2002;-0,011360409
16.04.2002;0,011360409
17.04.2002;0,870898453
18.04.2002;0,168776411
19.04.2002;-0,10123166
22.04.2002;-0,045024764
23.04.2002;-0,112650682
24.04.2002;0,225174605
25.04.2002;0,862219103
26.04.2002;0,022296544
29.04.2002;0,744075841
30.04.2002;-0,332483959
02.05.2002;0,266075545
03.05.2002;0,563070767
06.05.2002;0,669339197
07.05.2002;-0,208002702
08.05.2002;-0,406303749
09.05.2002;-0,297537274
10.05.2002;0,627099255
13.05.2002;
14.05.2002;-0,616063555
15.05.2002;-0,353747882
16.05.2002;1,035593699
17.05.2002;0,306413022
20.05.2002;0,54484171
21.05.2002;0,119467839
22.05.2002;0,508851853
23.05.2002;-0,508851853
24.05.2002;-0,27172453
27.05.2002;0,021765154
28.05.2002;0,704800966
29.05.2002;0,699868267
30.05.2002;0,588394316
31.05.2002;0,12791815
03.06.2002;-0,791447982
04.06.2002;1,301490528
05.06.2002;-0,680636468
06.06.2002;0,159940323
07.06.2002;0,700714195
10.06.2002;0,074030991
11.06.2002;-0,44501027
12.06.2002;0,37097928
13.06.2002;-0,37097928
14.06.2002;0,645675702
17.06.2002;-0,550149504
18.06.2002;0,61343397
19.06.2002;0,80861559
20.06.2002;0,323709362
21.06.2002;0,457666703
24.06.2002;1,493564356
25.06.2002;-0,707949399
26.06.2002;2,088822189
27.06.2002;-0,94220848
28.06.2002;1,525359137
01.07.2002;-0,623493573
02.07.2002;-0,759458868
03.07.2002;-0,591295433
04.07.2002;0,10219725
05.07.2002;-0,666156704
08.07.2002;1,053556515
09.07.2002;1,03250234
10.07.2002;-0,322776153
11.07.2002;-0,628359218
12.07.2002;0,375463428
15.07.2002;1,517845896
16.07.2002;1,022290676
17.07.2002;-0,624042439
18.07.2002;-0,059636221
19.07.2002;0,871120139
22.07.2002;-0,593121549
23.07.2002;-1,760397531
24.07.2002;0,050441363
25.07.2002;0,993535194
26.07.2002;-0,059934074
29.07.2002;-1,886182299
30.07.2002;0,142450167
31.07.2002;-0,530126637
01.08.2002;-0,235378505
02.08.2002;1,15113582
05.08.2002;-0,375463428
06.08.2002;-1,505790295
07.08.2002;0,092845728
08.08.2002;-0,113489824
09.08.2002;0,432633555
12.08.2002;0,522836805
13.08.2002;0,194085561
14.08.2002;0,590152303
15.08.2002;-0,814917416
16.08.2002;0,489746923
19.08.2002;-0,26498181
20.08.2002;-0,071461388
21.08.2002;-0,306842831
22.08.2002;0,081916859
23.08.2002;-0,749990673
26.08.2002;0,041241366
27.08.2002;0,749682587
28.08.2002;0,53061349
29.08.2002;0,17286089
30.08.2002;-0,101646685
02.09.2002;-0,122112562
03.09.2002;0,902139817
04.09.2002;0,372664983
05.09.2002;0,281096461
06.09.2002;-0,573067471
09.09.2002;-1,258133479
10.09.2002;-0,347755286
11.09.2002;-0,112768478
12.09.2002;0,082026048
13.09.2002;0,541729745
16.09.2002;-1,303050295
17.09.2002;-0,351748759
18.09.2002;0,784560647
19.09.2002;0,911004816
20.09.2002;-0,244848113
23.09.2002;0,417920184
24.09.2002;-0,030520373
25.09.2002;-0,58166397
26.09.2002;0,255532413
27.09.2002;-0,173690976
30.09.2002;0,824893928
01.10.2002;0,010141474
02.10.2002;-0,264013151
03.10.2002;0,557669379
04.10.2002;-0,253100616
07.10.2002;-0,579476028
08.10.2002;-0,081599352
09.10.2002;0,142755199
10.10.2002;0,619637312
11.10.2002;-0,18244481
14.10.2002;0,162189595
15.10.2002;-0,640148505
16.10.2002;0,132430112
17.10.2002;-0,612684445
18.10.2002;-0,287209142
21.10.2002;0,133449694
22.10.2002;0,204960105
23.10.2002;0,071636906
24.10.2002;-0,379234811
25.10.2002;0,256397248
28.10.2002;-0,184539728
29.10.2002;0,766678941
30.10.2002;0,050903539
31.10.2002;0,396160811
01.11.2002;1,108994126
04.11.2002;-0,301235292
05.11.2002;0,801286339
06.11.2002;-0,690728008
07.11.2002;0,580931121
08.11.2002;0,934400437
11.11.2002;0,187812046
12.11.2002;-0,445390948
13.11.2002;-0,12903868
14.11.2002;0,267817449
15.11.2002;-0,655935566
18.11.2002;0,358316299
19.11.2002;0,59435539
20.11.2002;-1,052432272
21.11.2002;0,149603578
22.11.2002;-0,099710847
25.11.2002;-1,194253744
26.11.2002;0,050466819
27.11.2002;0,171396927
28.11.2002;0,070489908
29.11.2002;-0,070489908
